<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GDAX.BTC-USD 60 20210331 140000 57962.0500000 58080.0000000 57280.0000000 57730.1700000 466
GDAX.BTC-USD 60 20210331 150000 57723.4700000 58154.3100000 57656.5600000 58006.7100000 424
GDAX.BTC-USD 60 20210331 160000 58006.7100000 58336.0700000 57674.4900000 58158.9400000 613
GDAX.BTC-USD 60 20210331 170000 58158.9400000 58797.3000000 58050.0000000 58578.2700000 643
GDAX.BTC-USD 60 20210331 180000 58578.2800000 58790.0900000 58379.8500000 58605.7900000 495
GDAX.BTC-USD 60 20210331 190000 58605.7900000 59472.0000000 58605.7800000 59289.4900000 1535
GDAX.BTC-USD 60 20210331 200000 59302.7300000 59664.5500000 58800.0000000 59029.3400000 1125
GDAX.BTC-USD 60 20210331 210000 59029.3400000 59299.9800000 58939.4100000 59269.1200000 851
GDAX.BTC-USD 60 20210331 220000 59269.1200000 59599.0000000 59191.8400000 59291.9900000 821
GDAX.BTC-USD 60 20210331 230000 59292.0000000 59572.6100000 58380.7900000 58601.2700000 1357
GDAX.BTC-USD 60 20210401 000000 58601.2800000 59115.1700000 58347.4400000 58950.0300000 1066
GDAX.BTC-USD 60 20210401 010000 58950.0300000 59306.5000000 58750.0000000 58950.2400000 489
GDAX.BTC-USD 60 20210401 020000 58950.2400000 59001.0000000 58610.1200000 58638.1700000 437
GDAX.BTC-USD 60 20210401 030000 58638.1700000 58921.0000000 58555.5500000 58800.0000000 450
GDAX.BTC-USD 60 20210401 040000 58800.0100000 59255.8400000 58756.0700000 59246.1900000 474
GDAX.BTC-USD 60 20210401 050000 59246.1800000 59333.1600000 58952.7600000 59160.8800000 344
GDAX.BTC-USD 60 20210401 060000 59158.6800000 59305.0000000 59051.5200000 59113.8400000 192
GDAX.BTC-USD 60 20210401 070000 59112.9100000 59183.4100000 58956.8500000 59138.5500000 224
GDAX.BTC-USD 60 20210401 080000 59138.5600000 59250.0000000 58650.0100000 58922.2200000 602
GDAX.BTC-USD 60 20210401 090000 58925.1400000 59000.0000000 58720.0100000 58808.6400000 205
GDAX.BTC-USD 60 20210401 100000 58803.2700000 59044.8700000 58700.0000000 58761.5000000 145
GDAX.BTC-USD 60 20210401 110000 58761.5000000 58969.6900000 58539.3400000 58856.1500000 372
GDAX.BTC-USD 60 20210401 120000 58856.1500000 59474.9400000 58580.8600000 58840.0400000 415
GDAX.BTC-USD 60 20210401 130000 58849.3200000 59265.2600000 58729.3500000 58837.3200000 208
GDAX.BTC-USD 60 20210401 140000 58837.3200000 58970.3900000 58500.0000000 58629.4700000 337
GDAX.BTC-USD 60 20210401 150000 58629.4700000 58689.5300000 58139.9400000 58593.8200000 606
GDAX.BTC-USD 60 20210401 160000 58593.8300000 58749.0000000 58412.4900000 58740.0100000 407
GDAX.BTC-USD 60 20210401 170000 58740.0100000 59100.0000000 58727.2400000 58917.4100000 636
GDAX.BTC-USD 60 20210401 180000 58917.4100000 59074.8100000 58781.1000000 59007.7000000 553
GDAX.BTC-USD 60 20210401 190000 59007.7800000 59284.0500000 58943.1700000 58975.0200000 854
GDAX.BTC-USD 60 20210401 200000 58975.0200000 59136.2600000 58641.4800000 58762.4100000 742
GDAX.BTC-USD 60 20210401 210000 58762.4000000 58825.3900000 58310.6300000 58496.7600000 744
GDAX.BTC-USD 60 20210401 220000 58496.7600000 58787.0000000 57930.0000000 58693.4000000 1193
GDAX.BTC-USD 60 20210401 230000 58698.5400000 58945.6400000 58551.3600000 58908.2200000 700
GDAX.BTC-USD 60 20210402 000000 58915.8700000 59000.0000000 58715.2100000 58854.1800000 366
GDAX.BTC-USD 60 20210402 010000 58854.1900000 58924.8000000 58560.6500000 58756.8200000 257
GDAX.BTC-USD 60 20210402 020000 58756.8200000 58991.0900000 58633.4600000 58983.3900000 271
GDAX.BTC-USD 60 20210402 030000 58983.3800000 59015.3400000 58711.2900000 58726.4800000 255
GDAX.BTC-USD 60 20210402 040000 58726.4700000 58875.0000000 58441.8800000 58652.3800000 500
